fullId,category,wnsynset,wnlemmas,name,tags
1004f30be305f33d28a1548e344f0e2e,WallArt,n3445436,globe,globe blue spruce,*
100f39dce7690f59efb94709f30ce0d2,"Chair,Recliner",n4069540,"recliner,reclining chair,lounger",couch,carpet recliner
101354f9d8dede686f7b08d9de913afe,"Speaker,_Attributes",n3696785,"loudspeaker,speaker,speaker unit,loudspeaker system,speaker system",sound speaker,"audio,audio speaker,music,sound,sound speaker,speaker"
1018f01d42ae7fad52249d8432f6087e,Sword,n4380981,"sword,blade,brand,steel",sword,"blade,sword,weapon"
1022fe7dd03f6a4d4d5ad9f13ac9f4e7,"Chair,OfficeChair",n3005231,chair,office chair,"fauteuil de bureau,office chair"
1028b32dc1873c2afe26a3ac360dbd4,"Chair,OfficeSideChair",n3005231,chair,visavis stackable chair,chair office designer citterio
1029fd5d71a06ea32ea98d69e91ba870,ChestOfDrawers,n3018908,"chest of drawers,chest,bureau,dresser",thos  moser tall chest with drawers,*
102a6b7809f4e51813842bc8ef6fe18,"Computer,Desktop",n3184677,desktop computer,alienware area    computer case  pc,*
102ea1d8d5fe24e8485059ffe7a2f9c7,,,,jacuzzi,"agua,decoracion,decoration,furniture,jacizzi,mueble,piscina,relax,rubicundo,water"
1033ee86cc8bac4390962e4fb7072b86,Chair,n2741540,armchair,the armchair cit eacute,"armchair,chair,chaise,french,furniture,nancy,prouve,tterrible,vitra"
104221f8a5b6676aa1dda33d5a7c8c38,"Table,AccentTable,RoundTable",n3067971,"coffee table,cocktail table",eileen gray coffee table,"bauhaus,chair,chairs,chaise lounge,darrell smith,end table,furniture,modern,sofa,table,texture,textures"
10433e5bd8fa2a337b00c7b93209c459,,n3963609,planter,concrete round planter    in,"cylinder,details,flower,furnishing,landscape architecture,planter,pot,round,sidewalk,site,street"
1043b403dd2e79128081f4adb71040,Plant,n17402,"plant,flora,plant life",rose,"boy,flower,girl,landscape,love,nature,petal,plant,red,romance,rose,single,z,zman"
1046b3d5a381a8902e5ae31c6c631a39,"VideoGameController,_StanfordSceneDBModels,_SceneGalleryModels",n3101611,"control,controller",dual shock analog controller,"analog,controller,dual,play,playstation,shock,sony,station"
10477652cbfcbc0eeda994bbf9145c8e,PersonStanding,n5224944,person,rose dewitt bukater boarding dress,"man,rose dewitt bukater,titanic"
1049af17ad48aaeb6d41c42f7ade8c8,"_StanfordSceneDBModels,_SceneGalleryModels,PictureFrame",n3938003,picture frame,digital picture frame,"android,digital,display,eight,frame,high,inch,mountain,photo,picture,resolution,screen,touch"
10507ae95f984daccd8f3fe9ca2145e1,Couch,n4263630,"sofa,couch,lounge",modern futon,"couch,furniture,futon,modern"
1061c1b4af7fd99777f4e9e0a7e4c2,Candle,n2951508,"candle,taper,wax light",candle,candle
106676e68e8031e51085ede6a3c1fc8b,,n4453655,"toilet,can,commode,crapper,pot,potty,stool,throne",pot,"follow me,geometry,pot"
106d2b545cadbbba005531e2f53712,Fan,n3324991,fan,vornado desk fan,"electric,fan,vornado"
1074bdcb3c2032fe0f3f8b6e1796773,"ChestOfDrawers,Dresser",n3018908,"chest of drawers,chest,bureau,dresser",scandanavian dresser,"dresser,scandanavian"
107637b6bdf8129d4904d89e9169817b,Couch,n3698800,"love seat,loveseat,tete-a-tete,vis-a-vis",ikea   kramfors loveseat,"architecture,bench,chair,chaise,chesterfield,couch,design,furniture,ikea,interior,kramfors,love,loveseat,seat,seating"
1077080c3c8c6c71bf4af39142c10db1,Desk,n3184367,desk,herman miller reg  eames reg  desk  left hand drawer from smart furniture,"designer furniture,desk,eames,herman miller,modern furniture,office furniture,smart furiture"
1077ec2ad50f4d1e635469b95109803c,ChestOfDrawers,n3018908,"chest of drawers,chest,bureau,dresser",pounds inc  small nightstand,"nightstand,small nightstand,wood"
107866d38cbda61bd95833de9ef0110c,,n2936496,cabinet,fire hose cabinet,"extinguisher,fire"
107e37526a6c86ca3560954e7d85cd64,_StanfordSceneDBModels,n12131755,"chess,cheat,Bromus secalinus",d challenge     chess set,"boardgame,chess,game"
10813c17dce1786de3f7a74e12a274ef,,n4045203,rack,rack,*
1086e8da6237a55aeccd82bb51193a7f,,n2745758,arrow,arrow,"arrow,bow,quiver,sharp"
108ad3a805249f426ef4e1604526a95,Helicopter,n3517291,"helicopter,chopper,whirlybird,eggbeater",blue dragon helicopter  greenbrier high school,
109574a012a47717924923601a5ffbc7,,n4386330,table,night table,*
109d55a137c042f5760315ac3bf2c13e,"Bottle,_StanfordSceneDBModels,WineBottle",n4599016,wine bottle,wine bottle,"bottle,decorative,glass,pretty,wine"
109db03133db57937ff6ace05b36a5,"ChestOfDrawers,Dresser,_AttributesTrain",n3018908,"chest of drawers,chest,bureau,dresser",dresser mirage dark frame designed  by john a weick ra  amp  ap leed,"dining tables,end tables,hawaii,honolulu,is part of john weick functional sculptures and is part of the mirage floating furniture sereis that includes coffee tables,sizes,writing tables"
10a200395145c61aea2f5d52559debc,"StandingClock,Clock",n3457538,"grandfather clock,longcase clock",gold inlaid grandfather clock,"clock,gold,grandfather,horloge,inlaid,living room,mantle,object,or,ornamentation,peice,temps,time,wood"
10a20d1717ef260c5c2ffa1ebd96943,,n14782715,shell,itccinc shell,*
10a75ef76166772a65327266daecd868,Plant,n12289758,live oak,d live oak tree,"evergreen tree,large shade tree,live oak,live oak tree,quercus virginiana,shade tree"
